epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,291.006,1.3869,0.97489,1.13366,0.85836,0.64191,0.7274,0.44028,1.3418,0.80325,1.107,0.001,0.001,0.001
2,565.647,1.34101,0.88056,1.10477,0.87349,0.66249,0.75355,0.46469,1.28563,0.77241,1.07578,0.000993906,0.000993906,0.000993906
3,838.73,1.30551,0.82287,1.0884,0.87144,0.67725,0.76388,0.48166,1.25219,0.72118,1.05869,0.000975773,0.000975773,0.000975773
4,1111.54,1.27876,0.79652,1.08104,0.88482,0.68024,0.77182,0.48441,1.24531,0.68926,1.05325,0.000946048,0.000946048,0.000946048
5,1382.35,1.26631,0.77506,1.07316,0.88277,0.68715,0.7772,0.48656,1.23589,0.69365,1.04722,0.000905463,0.000905463,0.000905463
6,1652.53,1.24967,0.7561,1.06346,0.8853,0.69623,0.78269,0.49394,1.22715,0.6836,1.05016,0.000855018,0.000855018,0.000855018
7,1925.52,1.23685,0.73401,1.05641,0.87876,0.70943,0.79261,0.50403,1.20536,0.66193,1.03905,0.000795954,0.000795954,0.000795954
8,2195.77,1.22814,0.72344,1.05535,0.87653,0.71677,0.79583,0.50636,1.21737,0.64961,1.04172,0.000729725,0.000729725,0.000729725
9,2463.77,1.22004,0.71214,1.05122,0.89621,0.71094,0.79967,0.51477,1.19963,0.64028,1.0309,0.000657963,0.000657963,0.000657963
10,2730.21,1.20185,0.69458,1.04518,0.89819,0.71483,0.80475,0.51498,1.20237,0.62754,1.02862,0.000582435,0.000582435,0.000582435
11,2997.15,1.18493,0.65343,1.02875,0.89282,0.72172,0.80828,0.52223,1.18707,0.61788,1.02305,0.000505,0.000505,0.000505
12,3268.89,1.17537,0.63685,1.02516,0.89556,0.72432,0.80903,0.51383,1.191,0.61854,1.0229,0.000427565,0.000427565,0.000427565
13,3528.22,1.16077,0.62522,1.02327,0.88712,0.7323,0.81161,0.52643,1.17391,0.60061,1.021,0.000352037,0.000352037,0.000352037
14,3785.38,1.15261,0.60929,1.01598,0.88892,0.73551,0.81695,0.53128,1.16188,0.58826,1.01461,0.000280275,0.000280275,0.000280275
